
Begin Step 0, Time: 0.0909091, Systemstep: 0
Begin Step 148, Time: 0.992587, Systemstep: 0.00609242

Begin Step 149, Time: 0.998679, Systemstep: 0.00609242

Begin Step 150, Time: 1.00477, Systemstep: 0.00609242

Begin Step 151, Time: 1.01086, Systemstep: 0.00609242

Begin Step 152, Time: 1.01696, Systemstep: 0.00609242

Begin Step 153, Time: 1.02305, Systemstep: 0.00609242

Begin Step 154, Time: 1.02914, Systemstep: 0.00609242

Begin Step 155, Time: 1.03523, Systemstep: 0.00609242

Begin Step 156, Time: 1.04133, Systemstep: 0.00609242

Begin Step 157, Time: 1.04742, Systemstep: 0.00609242

Begin Step 158, Time: 1.05351, Systemstep: 0.00609242

Begin Step 159, Time: 1.0596, Systemstep: 0.00609242

Begin Step 160, Time: 1.0657, Systemstep: 0.00609242

Begin Step 161, Time: 1.07179, Systemstep: 0.00609242

Begin Step 162, Time: 1.07788, Systemstep: 0.00609242

Begin Step 163, Time: 1.08397, Systemstep: 0.00609242

Begin Step 164, Time: 1.09007, Systemstep: 0.00609242

Begin Step 165, Time: 1.09616, Systemstep: 0.00609242

Begin Step 166, Time: 1.10225, Systemstep: 0.00609242

Begin Step 167, Time: 1.10834, Systemstep: 0.00609242

Begin Step 168, Time: 1.11444, Systemstep: 0.00609242

Begin Step 169, Time: 1.12053, Systemstep: 0.00609242

Begin Step 170, Time: 1.12662, Systemstep: 0.00609242

Begin Step 171, Time: 1.13271, Systemstep: 0.00609242

Begin Step 172, Time: 1.13881, Systemstep: 0.00609242

Begin Step 173, Time: 1.1449, Systemstep: 0.00609242

Begin Step 174, Time: 1.15099, Systemstep: 0.00609242

Begin Step 175, Time: 1.15708, Systemstep: 0.00609242

Begin Step 176, Time: 1.16317, Systemstep: 0.00609242

Begin Step 177, Time: 1.16927, Systemstep: 0.00609242

Begin Step 178, Time: 1.17536, Systemstep: 0.00609242

Begin Step 179, Time: 1.18145, Systemstep: 0.00609242

Begin Step 180, Time: 1.18754, Systemstep: 0.00609242

Begin Step 181, Time: 1.19364, Systemstep: 0.00609242

Begin Step 182, Time: 1.19973, Systemstep: 0.00609242

Begin Step 183, Time: 1.20582, Systemstep: 0.00609242

Begin Step 184, Time: 1.21191, Systemstep: 0.00609242

Begin Step 185, Time: 1.21801, Systemstep: 0.00609242

Begin Step 186, Time: 1.2241, Systemstep: 0.00609242

Begin Step 187, Time: 1.23019, Systemstep: 0.00609242

Begin Step 188, Time: 1.23628, Systemstep: 0.00609242

Begin Step 189, Time: 1.24238, Systemstep: 0.00609242

Begin Step 190, Time: 1.24847, Systemstep: 0.00609242

Begin Step 191, Time: 1.25456, Systemstep: 0.00609242

Begin Step 192, Time: 1.26065, Systemstep: 0.00609242

Begin Step 193, Time: 1.26675, Systemstep: 0.00609242

Begin Step 194, Time: 1.27284, Systemstep: 0.00609242

Begin Step 195, Time: 1.27893, Systemstep: 0.00609242

Begin Step 196, Time: 1.28502, Systemstep: 0.00609242

Begin Step 197, Time: 1.29112, Systemstep: 0.00609242

Begin Step 198, Time: 1.29721, Systemstep: 0.00609242

Begin Step 199, Time: 1.3033, Systemstep: 0.00609242

Begin Step 200, Time: 1.30939, Systemstep: 0.00609242

Begin Step 201, Time: 1.31549, Systemstep: 0.00609242

Begin Step 202, Time: 1.32158, Systemstep: 0.00609242

Begin Step 203, Time: 1.32767, Systemstep: 0.00609242

Begin Step 204, Time: 1.33376, Systemstep: 0.00609242

Begin Step 205, Time: 1.33985, Systemstep: 0.00609242

Begin Step 206, Time: 1.34595, Systemstep: 0.00609242

Begin Step 207, Time: 1.35204, Systemstep: 0.00609242

Begin Step 208, Time: 1.35813, Systemstep: 0.00609242

Begin Step 209, Time: 1.36422, Systemstep: 0.00609242

Begin Step 210, Time: 1.37032, Systemstep: 0.00609242

Begin Step 211, Time: 1.37641, Systemstep: 0.00609242

Begin Step 212, Time: 1.3825, Systemstep: 0.00609242

Begin Step 213, Time: 1.38859, Systemstep: 0.00609242

Begin Step 214, Time: 1.39469, Systemstep: 0.00609242

Begin Step 215, Time: 1.40078, Systemstep: 0.00609242

Begin Step 216, Time: 1.40687, Systemstep: 0.00609242

Begin Step 217, Time: 1.41296, Systemstep: 0.00609242

Begin Step 218, Time: 1.41906, Systemstep: 0.00609242

Begin Step 219, Time: 1.42515, Systemstep: 0.00609242

Begin Step 220, Time: 1.43124, Systemstep: 0.00609242

Begin Step 221, Time: 1.43733, Systemstep: 0.00609242

Begin Step 222, Time: 1.44343, Systemstep: 0.00609242

Begin Step 223, Time: 1.44952, Systemstep: 0.00609242

Begin Step 224, Time: 1.45561, Systemstep: 0.00609242

Begin Step 225, Time: 1.4617, Systemstep: 0.00609242

Begin Step 226, Time: 1.4678, Systemstep: 0.00609242

Begin Step 227, Time: 1.47389, Systemstep: 0.00609242

Begin Step 228, Time: 1.47998, Systemstep: 0.00609242

Begin Step 229, Time: 1.48607, Systemstep: 0.00609242

Begin Step 230, Time: 1.49217, Systemstep: 0.00609242

Begin Step 231, Time: 1.49826, Systemstep: 0.00609242

Begin Step 232, Time: 1.50435, Systemstep: 0.00609242

Begin Step 233, Time: 1.51044, Systemstep: 0.00609242

Begin Step 234, Time: 1.51653, Systemstep: 0.00609242

Begin Step 235, Time: 1.52263, Systemstep: 0.00609242

Begin Step 236, Time: 1.52872, Systemstep: 0.00609242

Begin Step 237, Time: 1.53481, Systemstep: 0.00609242

Begin Step 238, Time: 1.5409, Systemstep: 0.00609242

Begin Step 239, Time: 1.547, Systemstep: 0.00609242

Begin Step 240, Time: 1.55309, Systemstep: 0.00609242

Begin Step 241, Time: 1.55918, Systemstep: 0.00609242

Begin Step 242, Time: 1.56527, Systemstep: 0.00609242

Begin Step 243, Time: 1.57137, Systemstep: 0.00609242

Begin Step 244, Time: 1.57746, Systemstep: 0.00609242

Begin Step 245, Time: 1.58355, Systemstep: 0.00609242

Begin Step 246, Time: 1.58964, Systemstep: 0.00609242

Begin Step 247, Time: 1.59574, Systemstep: 0.00609242

Begin Step 248, Time: 1.60183, Systemstep: 0.00609242

Begin Step 249, Time: 1.60792, Systemstep: 0.00609242

Begin Step 250, Time: 1.61401, Systemstep: 0.00609242

Begin Step 251, Time: 1.62011, Systemstep: 0.00609242

Begin Step 252, Time: 1.6262, Systemstep: 0.00609242

Begin Step 253, Time: 1.63229, Systemstep: 0.00609242

Begin Step 254, Time: 1.63838, Systemstep: 0.00609242

Begin Step 255, Time: 1.64448, Systemstep: 0.00609242

Begin Step 256, Time: 1.65057, Systemstep: 0.00609242

Begin Step 257, Time: 1.65666, Systemstep: 0.00609242

Begin Step 258, Time: 1.66275, Systemstep: 0.00609242

Begin Step 259, Time: 1.66885, Systemstep: 0.00609242

Begin Step 260, Time: 1.67494, Systemstep: 0.00609242

Begin Step 261, Time: 1.68103, Systemstep: 0.00609242

Begin Step 262, Time: 1.68712, Systemstep: 0.00609242

Begin Step 263, Time: 1.69322, Systemstep: 0.00609242

Begin Step 264, Time: 1.69931, Systemstep: 0.00609242

Begin Step 265, Time: 1.7054, Systemstep: 0.00609242

Begin Step 266, Time: 1.71149, Systemstep: 0.00609242

Begin Step 267, Time: 1.71758, Systemstep: 0.00609242

Begin Step 268, Time: 1.72368, Systemstep: 0.00609242

Begin Step 269, Time: 1.72977, Systemstep: 0.00609242

Begin Step 270, Time: 1.73586, Systemstep: 0.00609242

Begin Step 271, Time: 1.74195, Systemstep: 0.00609242

Begin Step 272, Time: 1.74805, Systemstep: 0.00609242

Begin Step 273, Time: 1.75414, Systemstep: 0.00609242

Begin Step 274, Time: 1.76023, Systemstep: 0.00609242

Begin Step 275, Time: 1.76632, Systemstep: 0.00609242

Begin Step 276, Time: 1.77242, Systemstep: 0.00609242

Begin Step 277, Time: 1.77851, Systemstep: 0.00609242

Begin Step 278, Time: 1.7846, Systemstep: 0.00609242

Begin Step 279, Time: 1.79069, Systemstep: 0.00609242

Begin Step 280, Time: 1.79679, Systemstep: 0.00609242

Begin Step 281, Time: 1.80288, Systemstep: 0.00609242

Begin Step 282, Time: 1.80897, Systemstep: 0.00609242

Begin Step 283, Time: 1.81506, Systemstep: 0.00609242

Begin Step 284, Time: 1.82116, Systemstep: 0.00609242

Begin Step 285, Time: 1.82725, Systemstep: 0.00609242

Begin Step 286, Time: 1.83334, Systemstep: 0.00609242

Begin Step 287, Time: 1.83943, Systemstep: 0.00609242

Begin Step 288, Time: 1.84553, Systemstep: 0.00609242

Begin Step 289, Time: 1.85162, Systemstep: 0.00609242

Begin Step 290, Time: 1.85771, Systemstep: 0.00609242

Begin Step 291, Time: 1.8638, Systemstep: 0.00609242

Begin Step 292, Time: 1.8699, Systemstep: 0.00609242

Begin Step 293, Time: 1.87599, Systemstep: 0.00609242

Begin Step 294, Time: 1.88208, Systemstep: 0.00609242

Begin Step 295, Time: 1.88817, Systemstep: 0.00609242

Begin Step 296, Time: 1.89426, Systemstep: 0.00609242

Begin Step 297, Time: 1.90036, Systemstep: 0.00609242

Begin Step 298, Time: 1.90645, Systemstep: 0.00609242

Begin Step 299, Time: 1.91254, Systemstep: 0.00609242

Begin Step 300, Time: 1.91863, Systemstep: 0.00609242

Begin Step 301, Time: 1.92473, Systemstep: 0.00609242

Begin Step 302, Time: 1.93082, Systemstep: 0.00609242

Begin Step 303, Time: 1.93691, Systemstep: 0.00609242

Begin Step 304, Time: 1.943, Systemstep: 0.00609242

Begin Step 305, Time: 1.9491, Systemstep: 0.00609242

Begin Step 306, Time: 1.95519, Systemstep: 0.00609242

Begin Step 307, Time: 1.96128, Systemstep: 0.00609242

Begin Step 308, Time: 1.96737, Systemstep: 0.00609242

Begin Step 309, Time: 1.97347, Systemstep: 0.00609242

Begin Step 310, Time: 1.97956, Systemstep: 0.00609242

Begin Step 311, Time: 1.98565, Systemstep: 0.00609242

Begin Step 312, Time: 1.99174, Systemstep: 0.00609242

Begin Step 313, Time: 1.99784, Systemstep: 0.00609242

Begin Step 314, Time: 2.00393, Systemstep: 0.00609242

Begin Step 315, Time: 2.01002, Systemstep: 0.00609242

Begin Step 316, Time: 2.01611, Systemstep: 0.00609242

Begin Step 317, Time: 2.02221, Systemstep: 0.00609242

Begin Step 318, Time: 2.0283, Systemstep: 0.00609242

Begin Step 319, Time: 2.03439, Systemstep: 0.00609242

Begin Step 320, Time: 2.04048, Systemstep: 0.00609242

Begin Step 321, Time: 2.04658, Systemstep: 0.00609242

Begin Step 322, Time: 2.05267, Systemstep: 0.00609242

Begin Step 323, Time: 2.05876, Systemstep: 0.00609242

Begin Step 324, Time: 2.06485, Systemstep: 0.00609242

Begin Step 325, Time: 2.07095, Systemstep: 0.00609242

Begin Step 326, Time: 2.07704, Systemstep: 0.00609242

Begin Step 327, Time: 2.08313, Systemstep: 0.00609242

Begin Step 328, Time: 2.08922, Systemstep: 0.00609242

Begin Step 329, Time: 2.09531, Systemstep: 0.00609242

Begin Step 330, Time: 2.10141, Systemstep: 0.00609242

Begin Step 331, Time: 2.1075, Systemstep: 0.00609242

Begin Step 332, Time: 2.11359, Systemstep: 0.00609242

Begin Step 333, Time: 2.11968, Systemstep: 0.00609242

Begin Step 334, Time: 2.12578, Systemstep: 0.00609242

Begin Step 335, Time: 2.13187, Systemstep: 0.00609242

Begin Step 336, Time: 2.13796, Systemstep: 0.00609242

Begin Step 337, Time: 2.14405, Systemstep: 0.00609242

Begin Step 338, Time: 2.15015, Systemstep: 0.00609242

Begin Step 339, Time: 2.15624, Systemstep: 0.00609242

Begin Step 340, Time: 2.16233, Systemstep: 0.00609242

Begin Step 341, Time: 2.16842, Systemstep: 0.00609242

Begin Step 342, Time: 2.17452, Systemstep: 0.00609242

Begin Step 343, Time: 2.18061, Systemstep: 0.00609242

Begin Step 344, Time: 2.1867, Systemstep: 0.00609242

Begin Step 345, Time: 2.19279, Systemstep: 0.00609242

Begin Step 346, Time: 2.19889, Systemstep: 0.00609242

Begin Step 347, Time: 2.20498, Systemstep: 0.00609242

Begin Step 348, Time: 2.21107, Systemstep: 0.00609242

Begin Step 349, Time: 2.21716, Systemstep: 0.00609242

Begin Step 350, Time: 2.22326, Systemstep: 0.00609242

Begin Step 351, Time: 2.22935, Systemstep: 0.00609242

Begin Step 352, Time: 2.23544, Systemstep: 0.00609242

Begin Step 353, Time: 2.24153, Systemstep: 0.00609242

Begin Step 354, Time: 2.24763, Systemstep: 0.00609242

Begin Step 355, Time: 2.25372, Systemstep: 0.00609242

Begin Step 356, Time: 2.25981, Systemstep: 0.00609242

Begin Step 357, Time: 2.2659, Systemstep: 0.00609242

Begin Step 358, Time: 2.27199, Systemstep: 0.00609242

Begin Step 359, Time: 2.27809, Systemstep: 0.00609242

Begin Step 360, Time: 2.28418, Systemstep: 0.00609242

Begin Step 361, Time: 2.29027, Systemstep: 0.00609242

Begin Step 362, Time: 2.29636, Systemstep: 0.00609242

Begin Step 363, Time: 2.30246, Systemstep: 0.00609242

Begin Step 364, Time: 2.30855, Systemstep: 0.00609242

Begin Step 365, Time: 2.31464, Systemstep: 0.00609242

Begin Step 366, Time: 2.32073, Systemstep: 0.00609242

Begin Step 367, Time: 2.32683, Systemstep: 0.00609242

Begin Step 368, Time: 2.33292, Systemstep: 0.00609242

Begin Step 369, Time: 2.33901, Systemstep: 0.00609242

Begin Step 370, Time: 2.3451, Systemstep: 0.00609242

Begin Step 371, Time: 2.3512, Systemstep: 0.00609242

Begin Step 372, Time: 2.35729, Systemstep: 0.00609242

Begin Step 373, Time: 2.36338, Systemstep: 0.00609242

Begin Step 374, Time: 2.36947, Systemstep: 0.00609242

Begin Step 375, Time: 2.37557, Systemstep: 0.00609242

Begin Step 376, Time: 2.38166, Systemstep: 0.00609242

Begin Step 377, Time: 2.38775, Systemstep: 0.00609242

Begin Step 378, Time: 2.39384, Systemstep: 0.00609242

Begin Step 379, Time: 2.39994, Systemstep: 0.00609242

Begin Step 380, Time: 2.40603, Systemstep: 0.00609242

Begin Step 381, Time: 2.41212, Systemstep: 0.00609242

Begin Step 382, Time: 2.41821, Systemstep: 0.00609242

Begin Step 383, Time: 2.42431, Systemstep: 0.00609242

Begin Step 384, Time: 2.4304, Systemstep: 0.00609242

Begin Step 385, Time: 2.43649, Systemstep: 0.00609242

Begin Step 386, Time: 2.44258, Systemstep: 0.00609242

Begin Step 387, Time: 2.44867, Systemstep: 0.00609242

Begin Step 388, Time: 2.45477, Systemstep: 0.00609242

Begin Step 389, Time: 2.46086, Systemstep: 0.00609242

Begin Step 390, Time: 2.46695, Systemstep: 0.00609242

Begin Step 391, Time: 2.47304, Systemstep: 0.00609242

Begin Step 392, Time: 2.47914, Systemstep: 0.00609242

Begin Step 393, Time: 2.48523, Systemstep: 0.00609242

Begin Step 394, Time: 2.49132, Systemstep: 0.00609242

Begin Step 395, Time: 2.49741, Systemstep: 0.00609242

Begin Step 396, Time: 2.50351, Systemstep: 0.00609242

Begin Step 397, Time: 2.5096, Systemstep: 0.00609242

Begin Step 398, Time: 2.51569, Systemstep: 0.00609242

Begin Step 399, Time: 2.52178, Systemstep: 0.00609242

